planning area,A,B,C,A_percent,B_percent,sum
Bukit Panjang,216,117,7,0.6352941176470588,0.34411764705882353,340
Central Water Catchment,41,3,0,0.9318181818181818,0.06818181818181818,44
Sungei Kadut,60,106,0,0.3614457831325301,0.6385542168674698,166
Museum,210,26,0,0.8898305084745762,0.11016949152542373,236
Marina South,12,22,0,0.35294117647058826,0.6470588235294118,34
Bishan,272,248,0,0.5230769230769231,0.47692307692307695,520
Pioneer,51,153,2,0.24757281553398058,0.7427184466019418,206
Simpang,0,0,1,0.0,0.0,1
Jurong East,437,467,5,0.4807480748074808,0.5137513751375138,909
Southern Islands,218,10,0,0.956140350877193,0.043859649122807015,228
Pulau Ubin,0,3,4,0.0,0.42857142857142855,7
Mandai,11,6,0,0.6470588235294118,0.35294117647058826,17
Sembawang,195,285,11,0.3971486761710794,0.5804480651731161,491
Serangoon,374,307,2,0.5475841874084919,0.4494875549048316,683
Western Water Catchment,76,78,0,0.4935064935064935,0.5064935064935064,154
Tengah,0,2,0,0.0,1.0,2
Ang Mo Kio,467,666,4,0.41072999120492526,0.5857519788918206,1137
Sengkang,264,179,1,0.5945945945945946,0.40315315315315314,444
Novena,425,213,1,0.6651017214397497,0.3333333333333333,639
River Valley,41,13,0,0.7592592592592593,0.24074074074074073,54
Downtown Core,1413,501,15,0.7325038880248833,0.25972006220839816,1929
Changi,320,171,0,0.6517311608961304,0.34826883910386963,491
Bedok,760,989,6,0.43304843304843305,0.5635327635327635,1755
Bukit Timah,467,234,2,0.6642958748221907,0.3328591749644381,703
Yishun,350,402,15,0.45632333767926986,0.5241199478487614,767
Clementi,285,452,7,0.38306451612903225,0.6075268817204301,744
Singapore River,394,68,1,0.8509719222462203,0.1468682505399568,463
Seletar,5,26,0,0.16129032258064516,0.8387096774193549,31
Bukit Merah,799,995,3,0.444629938786867,0.55370061213133,1797
Orchard,828,134,0,0.8607068607068608,0.1392931392931393,962
Queenstown,821,565,7,0.589375448671931,0.40559942569992824,1393
Toa Payoh,374,629,5,0.37103174603174605,0.6240079365079365,1008
Lim Chu Kang,6,2,0,0.75,0.25,8
Kallang,745,663,13,0.5242786769880365,0.4665728360309641,1421
Boon Lay,32,76,0,0.2962962962962963,0.7037037037037037,108
Bukit Batok,210,373,2,0.358974358974359,0.6376068376068376,585
Straits View,2,2,0,0.5,0.5,4
Marine Parade,335,207,0,0.6180811808118081,0.38191881918819187,542
Tuas,43,197,16,0.16796875,0.76953125,256
Jurong West,372,738,19,0.32949512843224094,0.6536758193091231,1129
Pasir Ris,242,173,0,0.5831325301204819,0.41686746987951806,415
Punggol,196,109,0,0.6426229508196721,0.35737704918032787,305
Tampines,736,547,2,0.5727626459143969,0.42568093385214006,1285
Hougang,488,455,12,0.5109947643979058,0.47643979057591623,955
Geylang,644,1158,13,0.35482093663911846,0.6380165289256199,1815
Rochor,586,533,39,0.5060449050086355,0.46027633851468047,1158
Newton,80,64,1,0.5517241379310345,0.4413793103448276,145
Choa Chu Kang,265,201,0,0.5686695278969958,0.4313304721030043,466
Outram,575,607,5,0.4844144903117102,0.5113732097725358,1187
Woodlands,532,430,1,0.5524402907580478,0.446521287642783,963
Paya Lebar,14,25,0,0.358974358974359,0.6410256410256411,39
Marina East,1,0,0,1.0,0.0,1
Tanglin,151,22,0,0.8728323699421965,0.12716763005780346,173
Western Islands,28,17,0,0.6222222222222222,0.37777777777777777,45
