Grade_Num,Spended Before?,Demerit Points,Grade,Licence Number,Licensee Name,Planning Area,Postal Code,Premises Address,Suspension End Date,Suspension Start Date
1,Not Suspended,na,A,E90096K000,MCDONALD'S RESTAURANTS PTE. LTD.,Changi,819643,#M016-017 AIRPORT BOULEVARD CHANGI AIRPORT TERMINAL 2 SINGAPORE 819643,,na
1,Not Suspended,na,A,CE08J39K000,JFW PTE. LTD.,Outram,89858,/4446 BUKIT PASOH ROAD SINGAPORE 089858,,na
2,Not Suspended,na,B,W80161A000,YEO KEE LIAN,Rochor,208787,0010 JALAN BESAR #03-32 SIM LIM TOWER SINGAPORE 208787,,na
2,Not Suspended,na,B,J81150X000,HOCK HUAT SAWMILL CO. PTE. LTD.,Sungei Kadut,729244,0036 SUNGEI KADUT STREET 2 SUNGEI KADUT INDUSTRIAL ESTATE SINGAPORE 729244,,na
2,Not Suspended,na,B,W84233E004,TEO SOON HUAT,Downtown Core,189695,0087 BEACH ROAD #01-01 CHYE SING BUILDING SINGAPORE 189695,,na
2,Not Suspended,na,B,W84233E003,TEO SOON HUAT,Downtown Core,189695,0087 BEACH ROAD #01-01 CHYE SING BUILDING SINGAPORE 189695,,na
2,Not Suspended,na,B,W84233E001,TEO SOON HUAT,Downtown Core,189695,0087 BEACH ROAD #01-01 CHYE SING BUILDING SINGAPORE 189695,,na
2,Not Suspended,4,B,W82167J000,SEE CHOON THAM,Kallang,199001,0100 JALAN SULTAN #01-10 SULTAN PLAZA SINGAPORE 199001,,na
1,Not Suspended,na,A,W83235X000,LUXURY HOTELS (1989) PTE LTD,Orchard,238840,0100 ORCHARD ROAD #03-00 CONCORDE HOTEL SINGAPORE SINGAPORE 238840,,na
1,Not Suspended,na,A,W83234B000,LUXURY HOTELS (1989) PTE LTD,Orchard,238840,0100 ORCHARD ROAD #B1-00 CONCORDE HOTEL SINGAPORE SINGAPORE 238840,,na
2,Not Suspended,na,B,W80155L000,TAN KENG HUA,Orchard,238841,0150 ORCHARD ROAD #04-53 ORCHARD PLAZA SINGAPORE 238841,,na
1,Not Suspended,na,A,E81057X000,PARKROYAL KITCHENER HOTEL PTE. LTD.,Kallang,208533,0181 KITCHENER ROAD NEW PARK HOTEL-HAI XIANG SINGAPORE 208533,,na
2,Not Suspended,na,B,W82193P000,LEE HOO FOO,Kallang,199018,0200 JALAN SULTAN #04-05 TEXTILE CENTRE SINGAPORE 199018,,na
1,Not Suspended,na,A,SE07031C000,BEE CHENG HIANG HUP CHONG FOODSTUFF PTE LTD,Changi,819643,026-078-01 AIRPORT BOULEVARD CHANGI AIRPORT T2-DEPARTURE/TRANSIT LOUNGE CENTRAL SINGAPORE 819643,,na
1,Not Suspended,na,A,SE06548J000,STARBUCKS COFFEE SINGAPORE PTE. LTD.,Changi,819643,026-095-06 AIRPORT BOULEVARD CHANGI AIRPORT T2-DEPARTURE/TRANSIT LOUNGE NORTH SINGAPORE 819643,,na
1,Not Suspended,na,A,SE15776J000,BENGAWAN SOLO PTE LTD,Changi,819643,026-096-01 AIRPORT BOULEVARD CHANGI AIRPORT TERMINAL 2 SINGAPORE 819643,,na
1,Not Suspended,na,A,SE04189J000,SELECT SERVICE PARTNER SINGAPORE PTE LTD,Changi,819643,026-109-01 AIRPORT BOULEVARD CHANGI AIRPORT T2-DEPARTURE/TRANSIT LOUNGE CENTRAL SINGAPORE 819643,,na
1,Not Suspended,na,A,SE04188K000,SELECT SERVICE PARTNER SINGAPORE PTE LTD,Changi,819643,026-110-01 AIRPORT BOULEVARD (O'LEARYS SPORTSBAR & GRILL) CHANGI AIRPORT T2-DEPARTURE/TRANSIT LOUNGE CENTRAL SINGAPORE 819643,,na
1,Not Suspended,na,A,W85235A000,LOO LIAT WANG,Orchard,238863,0304 ORCHARD ROAD #02-110 LUCKY PLAZA SINGAPORE 238863,,na
2,Not Suspended,4,B,W77115B000,KABAYAN FILIPINO RESTAURANT PTE LTD,Orchard,238863,0304 ORCHARD ROAD #03-25 LUCKY PLAZA SINGAPORE 238863,,na
2,Not Suspended,na,B,W77109A000,SENIMAH BINTE MOHAMED YUSUF,Orchard,238863,0304 ORCHARD ROAD #06-52 LUCKY PLAZA SINGAPORE 238863,,na
1,Not Suspended,na,A,SE07902C000,GURNEY CULTURE PTE. LTD.,Changi,819643,036-087-01 AIRPORT BOULEVARD CHANGI AIRPORT T2-VIEWING MALL NORTH 3RD LEVEL SINGAPORE 819643,,na
1,Not Suspended,na,A,E03103P000,PALMS FOOD INTERNATIONAL PTE LTD,Changi,819643,036-141-02 AIRPORT BOULEVARD CHANGI AIRPORT T2-DEPARTURE/TRANSIT LOUNGE CENTRAL SINGAPORE 819643,,na
2,Not Suspended,na,B,SE12G66C000,PHO STREET RESTAURANT PTE. LTD.,Changi,819643,036-141-03 AIRPORT BOULEVARD CHANGI AIRPORT T2-DEPARTURE TRANSIT LOUNGE CENTRAL SINGAPORE 819643,,na
2,Not Suspended,na,B,W85184L000,HJ MOHD SEAIN BIN MADSOM,Rochor,188061,0390 VICTORIA STREET #02-20 GOLDEN LANDMARK SINGAPORE 188061,,na
3,Not Suspended,na,C,W85183E000,HENG MENG HIANG,Rochor,188061,0390 VICTORIA STREET #02-32 GOLDEN LANDMARK SINGAPORE 188061,,na
3,Not Suspended,na,C,W85181J000,PHO A PIE,Rochor,188061,0390 VICTORIA STREET #02-55 GOLDEN LANDMARK SINGAPORE 188061,,na
1,Not Suspended,na,A,W87173C000,COLD STORAGE SINGAPORE (1983) PTE LTD,Orchard,238875,0400 ORCHARD ROAD #01-29 ORCDHARD TOWERS SINGAPORE 238875,,na
1,Not Suspended,na,A,W79165P000,TUNG LOK MILLENNIUM PTE LTD,Orchard,238881,0541 ORCHARD ROAD #05-01 LIAT TOWERS SINGAPORE 238881,,na
2,Not Suspended,na,B,W77111B000,TAN SOK MIA,Orchard,238882,0545 ORCHARD ROAD #05-33 FAR EAST SHOPPING CENTRE SINGAPORE 238882,,na
1,Not Suspended,na,A,W87139X000,JADE PALACE SEAFOOD RESTAURANT PTE LTD?,Orchard,238884,0583 ORCHARD ROAD #B1-13/14 FORUM SHOPPING MALL SINGAPORE 238884,,na
1,Not Suspended,na,A,CE11R74B000,BISRASAA PTE. LTD.,Bukit Merah,169339,1 & 1A KAMPONG BAHRU ROAD SINGAPORE 169339,,na
1,Not Suspended,na,A,W03488L000,SI WEI YAN PTE. LTD.,Outram,69403,1 3 7 9 CLUB STREET SINGAPORE 069403,,na
1,Not Suspended,na,A,W01401J000,BREAK AND BAKE PTE. LTD.,Outram,49944,1 AMOY STREET #01-01 FAR EAST SQUARE SINGAPORE 049944,,na
1,Not Suspended,na,A,CE13T95J000,ST ELECTRONICS (INFO-SOFTWARE SYSTEMS) PTE LTD,Ang Mo Kio,567710,1 ANG MO KIO ELECTRONICS PARK ROAD #01-10 SINGAPORE 567710,,na
1,Not Suspended,na,A,CE13T95J007,THE ICE CREAM SHOP PTE. LTD.,Ang Mo Kio,567710,1 ANG MO KIO ELECTRONICS PARK ROAD #01-10 SINGAPORE 567710,,na
1,Not Suspended,na,A,CE13T95J006,SITIA'INI BINTE DOLLAH,Ang Mo Kio,567710,1 ANG MO KIO ELECTRONICS PARK ROAD #01-10 SINGAPORE 567710,,na
2,Not Suspended,na,B,CE13T95J005,NEO CHENG BOON,Ang Mo Kio,567710,1 ANG MO KIO ELECTRONICS PARK ROAD #01-10 SINGAPORE 567710,,na
2,Not Suspended,na,B,CE13T95J004,TAY BENG HONG,Ang Mo Kio,567710,1 ANG MO KIO ELECTRONICS PARK ROAD #01-10 SINGAPORE 567710,,na
2,Not Suspended,na,B,CE13T95J003,NATURE VEGETARIAN DELIGHTS PRIVATE LIMITED,Ang Mo Kio,567710,1 ANG MO KIO ELECTRONICS PARK ROAD #01-10 SINGAPORE 567710,,na
1,Not Suspended,na,A,CE13T95J002,CHUA SOON NGOH,Ang Mo Kio,567710,1 ANG MO KIO ELECTRONICS PARK ROAD #01-10 SINGAPORE 567710,,na
2,Not Suspended,na,B,CE13T95J001,ONG TIAN PENG,Ang Mo Kio,567710,1 ANG MO KIO ELECTRONICS PARK ROAD #01-10 SINGAPORE 567710,,na
1,Not Suspended,na,A,CE13T96E000,THE COFFEE CONNECTION PTE LTD,Ang Mo Kio,567710,1 ANG MO KIO ELECTRONICS PARK ROAD #01-20 ST ENGINEERING HUB SINGAPORE 567710,,na
2,Not Suspended,na,B,S99119N012,KEE MENG TAI,Serangoon,568049,1 ANG MO KIO INDUSTRIAL PARK 2A #02-06A ANG MO KIO TECH 1 SINGAPORE 568049,,na
2,Not Suspended,na,B,S99119N010,SOON KOK KHENG,Serangoon,568049,1 ANG MO KIO INDUSTRIAL PARK 2A #02-06A ANG MO KIO TECH 1 SINGAPORE 568049,,na
2,Not Suspended,na,B,S99119N009,OO CHOW MOI,Serangoon,568049,1 ANG MO KIO INDUSTRIAL PARK 2A #02-06A ANG MO KIO TECH 1 SINGAPORE 568049,,na
2,Not Suspended,na,B,S99119N008,YEO LEE KWANG,Serangoon,568049,1 ANG MO KIO INDUSTRIAL PARK 2A #02-06A ANG MO KIO TECH 1 SINGAPORE 568049,,na
2,Not Suspended,na,B,S99119N007,CHEONG SAU FONG,Serangoon,568049,1 ANG MO KIO INDUSTRIAL PARK 2A #02-06A ANG MO KIO TECH 1 SINGAPORE 568049,,na
2,Not Suspended,na,B,S99119N006,LIM HOCK YONG,Serangoon,568049,1 ANG MO KIO INDUSTRIAL PARK 2A #02-06A ANG MO KIO TECH 1 SINGAPORE 568049,,na
2,Not Suspended,na,B,S99119N005,CHEN GUIXIU,Serangoon,568049,1 ANG MO KIO INDUSTRIAL PARK 2A #02-06A ANG MO KIO TECH 1 SINGAPORE 568049,,na
2,Not Suspended,na,B,S99119N004,ZHEN CHENG,Serangoon,568049,1 ANG MO KIO INDUSTRIAL PARK 2A #02-06A ANG MO KIO TECH 1 SINGAPORE 568049,,na
2,Not Suspended,na,B,S99119N003,LIM HOCK YONG,Serangoon,568049,1 ANG MO KIO INDUSTRIAL PARK 2A #02-06A ANG MO KIO TECH 1 SINGAPORE 568049,,na
