Planning Area,Region,Area,Population,Density
Ang Mo Kio,North-East,13.94,"174,770","12,538.20"
Bedok,East,21.69,"289,750","13,360.50"
Bishan,Central,7.62,"90,700","11,896.60"
Boon Lay,West,8.23,30,3.6
Bukit Batok,West,11.13,"139,270","12,513"
Bukit Merah,Central,14.34,"155,840","10,871.30"
Bukit Panjang,West,8.99,"139,030","15,466.70"
Bukit Timah,Central,17.53,"74,470","4,248.40"
Central Water Catchment,North,37.15,10,0.3
Changi,East,40.61,"2,530",62.3
Changi Bay,East,1.7,,
Choa Chu Kang,West,6.11,"174,330","28,513.20"
Clementi,West,9.49,"91,630","9,650.30"
Downtown Core,Central,4.34,"3,720",857.1
Geylang,Central,9.64,"116,960","12,129"
Hougang,North-East,13.93,"222,310","15,960.20"
Jurong East,West,17.83,"84,980","4,766.90"
Jurong West,West,14.69,"272,660","18,563.50"
Kallang,Central,9.17,"101,210","11,038.30"
Lim Chu Kang,North,17.3,90,5.2
Mandai,North,11.77,"2,120",180.2
Marina East,Central,1.82,,
Marina South,Central,1.62,,
Marine Parade,Central,6.12,"48,730","7,966.30"
Museum,Central,0.83,380,457.8
Newton,Central,2.07,"6,920","3,344.60"
North-Eastern Islands,North-East,42.88,60,1.4
Novena,Central,8.98,"47,990","5,344.10"
Orchard,Central,0.96,920,960.3
Outram,Central,1.37,"22,080","16,081.60"
Pasir Ris,East,15.02,"139,890","9,313"
Paya Lebar,East,11.69,40,3.4
Pioneer,West,12.1,100,8.3
Punggol,North-East,9.34,"109,750","11,746.80"
Queenstown,Central,20.43,"98,050","4,800.50"
River Valley,Central,1.48,"9,190","6,230.50"
Rochor,Central,1.62,"14,590","9,034.10"
Seletar,North-East,10.25,270,26.3
Sembawang,North,12.34,"76,530","6,203.30"
Sengkang,North-East,10.59,"206,680","19,511"
Serangoon,North-East,10.1,"120,670","11,945.20"
Simpang,North,5.13,,
Singapore River,Central,0.96,"2,720","2,842.20"
Southern Islands,Central,6.07,"1,480",244
Straits View,Central,0.77,,
Sungei Kadut,North,15.99,850,53.2
Tampines,East,20.89,"261,230","12,506.20"
Tanglin,Central,7.63,"19,000","2,491.80"
Tengah,West,7.4,10,1.4
Toa Payoh,Central,8.17,"124,940","15,298.20"
Tuas,West,30.04,70,2.3
Western Islands,West,39.47,,
Western Water Catchment,West,69.46,900,13
Woodlands,North,13.59,"250,290","18,424"
Yishun,North,21.24,"201,970","9,507.20"
